Cyber Resilience Assessment Framework (C-RAF) 2.0 Control Principle,,,,,
,,,,,
REF,Domain,Component,Sub-component,Maturity Level,Control Principle
13,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.2 Budgeting process,Intermediate,The Board or appropriate Board Committee reviews and approves management’s prioritisation and resource allocation decisions based on the results of the cyber risk assessments.
14,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.2 Budgeting process,Advanced,The budgeting process for requesting additional cybersecurity staff and tools is integrated into business units’ budgeting processes.
15,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.2 Budgeting process,Advanced,"The budgeting process for requesting additional cybersecurity resources, staff and tools are in line with the current resources and tools of the cybersecurity strategy."
16,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.3 Regular reporting,Baseline,Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least annually.
17,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.3 Regular reporting,Intermediate,Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least quarterly.
18,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.3 Regular reporting,Advanced,The standard Board meeting package includes reports and metrics that go beyond events and incidents and are able to address the cyber threat trends and AI’s cybersecurity posture.
19,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Baseline,"A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training."
20,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Baseline,There is enterprise-wide coordination for all elements of the cybersecurity programme.
21,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Intermediate,"A cybersecurity strategy is in place that highlights the directions and actions required to maintain or strengthen the AI’s cyber resilience in conjunction with strategic business directions, new technologies adopted, new third parties engaged for critical functions, and security industry standards or benchmarks."
22,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Advanced,"Management periodically reviews the cybersecurity strategy to address evolving cyber threats in light of gathered threat intelligence and changes to the inherent cyber risk profile (e.g. arising from new technologies, additional third-party risk, or new business lines)."
23,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Advanced,"The cybersecurity strategy is incorporated into, or conceptually fits within, the enterprise-wide risk management strategy."
24,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Advanced,Management has linked the strategic cybersecurity objectives to tactical goals.
25,Domain 1 Governance,1.2 Strategy and policies,1.2.1 Strategy and programme,Advanced,The cybersecurity strategy outlines the future state of cybersecurity with short-term and long-term perspectives.
26,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Baseline,Policies commensurate with the AI’s cyber risk and complexity are in place to address the concept of cyber threat intelligence sharing.
27,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Baseline,Board or dedicated committee-approved policies that address cybersecurity commensurate with the AI’s cyber risk and complexity are in place.
28,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Baseline,Policies commensurate with the AI’s cyber risk and complexity are in place to address the concepts of incident response and resilience.
29,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Intermediate,A formal process is in place to update policies regarding cybersecurity and cyber resilience practices as the AI’s inherent cyber risk profile changes.
30,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Advanced,A comprehensive set of policies commensurate with its risk and complexity is in place to address the concepts of threat intelligence.
31,Domain 1 Governance,1.2 Strategy and policies,1.2.2 Policies,Advanced,A formal process is in place to cross-reference and promptly update all policies related to cyber risks across business lines.
32,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Baseline,A cybersecurity and business continuity risk management function(s) is in place.
33,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Baseline,"The institution has appointed cyber security management roles such as a Chief Information Security Officer (“CISO”) or a Head of Technology Risk Management (“TRM”) to oversee, coordinate and govern enterprise-wide cybersecurity programme."
34,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Baseline,The appointed person(s) should have separate reporting lines to the senior management with appropriate governance structure and process.
35,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Intermediate,The cybersecurity function has a clear reporting line that does not present a conflict of interest concern
36,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Intermediate,The relevant business units ensure that they focus on attaining cyber resilience of critical functions.
37,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Intermediate,Three lines of defence are independent from each other. First line of defence (e.g. CISO or other equivalent roles) and second line of defence (e.g. Head of TRM or other equivalent roles) are defined and segregated.
38,Domain 1 Governance,1.3 Cyber risk management,1.3.1 Cyber risk management function,Advanced,Risk management staff report to management and the Board or an appropriate Board Committee on any significant discrepancies in the business unit’s assessments of cyber-related or cyber resilience risks.
39,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Baseline,"The risk management programme incorporates cyber risk identification, assessment, treatment and monitoring."
40,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Baseline,"Management reviews and uses independent assessment / audit results to improve existing cybersecurity policies, procedures, and controls."
41,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Baseline,Management monitors moderate and high residual risk issues from the cybersecurity risk assessment until these issues have been adequately addressed.
42,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Baseline,A social media policy is in place to provide guidance to staff do not post sensitive work-related information on social media platforms. 
43,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Intermediate,"A formal cybersecurity risk management programme is in place (e.g. to achieve sound cybersecurity management across the institution), based on technology and security industry standards or benchmarks."
44,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Intermediate,"The risk management programme specifically addresses cyber risks beyond technological impacts alone (e.g. financial, strategic, regulatory, and compliance risks)."
45,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Intermediate,Benchmarks or target performance metrics are established that show improvements or regressions in the security posture over time.
46,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Advanced,Cybersecurity metrics are used to facilitate strategic decision-making and funding in areas of need.
47,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Advanced,Cyber risk management monitors cyber-related risk limits for business units.
48,Domain 1 Governance,1.3 Cyber risk management,1.3.2 Risk management programme,Advanced,"The cyber risk data aggregation and real-time reporting capabilities support the AI’s ongoing reporting needs, particularly during cyber incidents."
49,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Baseline,"The audit function evaluates policies, procedures, and controls for significant cyber risks and control issues using a risk-based approach associated with operations and threat intelligence collection, including cyber risks of new products, emerging technologies, and information systems."
50,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Baseline,"The audit function validates that the AI’s cybersecurity controls in place are commensurate with its cyber risk and complexity across all operations, functions, systems, and processes."
51,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Baseline,"An audit is performed regularly to provide the Board of Directors and Senior Management with an independent and objective opinion of the adequacy and effectiveness of the AI’s cyber risk management, governance, and controls relative to its existing and emerging cyber risks and threats."
52,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Intermediate,The audit function validates that the AI’s cyber incident response programme and cyber resilience are commensurate with its cyber risk and complexity.
53,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Intermediate,The audit function regularly reviews management’s cyber risk appetite statement.
54,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Intermediate,"The frequency of audits is commensurate with the criticality of and risk posed by the AI’s assets, functions, systems, and processes."
55,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Advanced,Audit function regularly reviews the AI’s cyber risk appetite statement against the assessment results and initiates a review of any gaps identified.
56,Domain 1 Governance,1.4 Audit ,1.4.1 Audit scope,Advanced,"Audits or reviews are triggered on an as-needed basis to identify cybersecurity control weaknesses, their root causes, their potential impact to business units, and the remediation items needed to improve the adequacy and effectiveness of cyber controls and cyber resilience."
57,Domain 1 Governance,1.4 Audit ,1.4.2 Audit function,Baseline,A formal process is in place to update the audit function’s procedures in response to changes in the AI’s inherent cyber risk profile.
58,Domain 1 Governance,1.4 Audit ,1.4.2 Audit function,Intermediate,A formal process is in place for the audit function to update its procedures based on changes to the cyber threat landscape across the banking sector.
59,Domain 1 Governance,1.4 Audit ,1.4.2 Audit function,Advanced,A formal process is in place to update the audit function’s procedures in response to changes in the cyber threat landscape across other sectors that the institution depends upon.
60,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Baseline,Cybersecurity roles and responsibilities have been identified and defined.
61,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Baseline,"Formal processes are in place to identify any additional cybersecurity expertise, resources and tools needed to improve cybersecurity defences."
62,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Baseline,Staff with cybersecurity responsibilities have the requisite qualifications to conduct the necessary tasks associated with the position.
63,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Intermediate,Management with appropriate cybersecurity knowledge and experience are responsible for leading the cybersecurity efforts.
64,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Intermediate,Staff members with cybersecurity responsibilities are encouraged to periodically renew the requisite qualifications for performing tasks necessary to their positions.
65,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Intermediate,"Employment candidates, contractors, and third parties are subject to background verification checks proportional to the confidentiality of the data accessed, business requirements, and acceptable risk."
66,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Intermediate,Audits or management reviews are done to identify gaps in existing security capabilities and expertise.
67,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Advanced,"A programme for talent recruitment, ongoing nurturing, retention, and succession planning for cybersecurity and resilience staff is in place."
68,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Advanced,"Dedicated cybersecurity staff members develop, or contribute to developing, integrated enterprise-level security and cyber defence strategies."
69,Domain 1 Governance,1.5 Staffing and training,1.5.1 Staffing,Advanced,"Employment candidates are subject to background verification checks, such as employment history and references, proportional to the confidentiality of the data accessed, business requirements, and acceptable risk."
70,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline,"Regular (at least annual) cybersecurity training and skills development is provided to cover the latest cyber trends, cyber threats, emerging issues, and cyber incident response."
71,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline, Staff receives cyber threat intelligence regularly and when prompted by highly visible cyber events or regulatory alerts.
72,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline,A continuing training and skill development programme for cybersecurity staff is in place.
73,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline,Management ensures that adequate cybersecurity training is provided to relevant staff at a level appropriate to their job responsibilities.
74,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline,Employees with privileged account permissions receive additional cybersecurity training commensurate with the levels of their responsibilities.
75,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Baseline,Business units or functions are provided with cybersecurity training relevant to their particular business risks.
76,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Intermediate,Regular (at least annual) cybersecurity training and skill development are held that additionally cover how to recognise and report red flags (e.g. insider threats) and lessons learned from previous exercises (e.g. phishing rate).
77,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Intermediate,"Management ensures that role-based security training is provided to users for a defined period, such as when there are changes to privileged access rights or critical business information systems."
78,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Intermediate,The institution leverages individual training records to tailor training to its staff using a risk-based approach (e.g. those with a higher phishing rate over time may need to attend more training or be encouraged to improve).
79,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Intermediate,Retail customers and commercial clients receive cybersecurity awareness information on a regular basis.
80,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Advanced,A training policy is in place to routinely update its training to security staff to adapt to new threats.
81,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Advanced,"The Board and Senior Management are provided with appropriate levels of cybersecurity training by subject matter experts that addresses issues of how complex products, services, and lines of business may affect the AI’s cyber risk."
82,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Advanced,"Regular (at least annual) cybersecurity training and skill development programmes include practical exercises (e.g. social engineering, table-top, or cyber range exercises) to reinforce training objectives."
83,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Advanced,The institution leverages individual training records to tailor training to its staff using a skills-based approach (e.g. identifying staff which may require specific skills to better execute their daily responsibilities are nominated or prioritised to attend such training).
84,Domain 1 Governance,1.5 Staffing and training,1.5.2 Training,Advanced,"The institution establishes and institutionalises contacts with selected groups and associations within the security community to facilitate ongoing security education and training, stay up to date with latest practices, and share security-related intelligence."
85,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,"An inventory of the AI’s IT assets, including hardware, software, data, and systems hosted internally and externally, is maintained to facilitate assessment of whether appropriate cybersecurity safeguards are in place."
86,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,"IT assets are prioritised for cybersecurity protection based on their data classification and business value and are at the level of granularity deemed necessary by the AI’s own assessment for tracking and reporting critical assets, regardless of whether they are new, relocated, re-purposed, or sunset IT assets."
87,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,Management assign accountability for maintaining an inventory of the IT assets.
88,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,"The IT asset inventory and the identification of critical IT assets is reviewed at least annually to address new, relocated, re-purposed, and sunset IT assets."
89,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,A documented asset life-cycle process is in place to assess whether assets to be acquired are subject to appropriate cybersecurity safeguards.
90,Domain 2 Identification,2.1 IT asset management,N/A,Baseline,Processes and controls are in place to detect shadow IT or IT applications acquired and used without having undergone proper governance and approval procedures.
91,Domain 2 Identification,2.1 IT asset management,N/A,Intermediate,A process is in place to proactively manage systems when they approach their end-of-life phase (e.g. replacement) to limit cybersecurity risks.
92,Domain 2 Identification,2.1 IT asset management,N/A,Intermediate,"Scheduled and documented updates to the inventory of information system components are in place for installations, removals, and updates to the information systems."
93,Domain 2 Identification,2.1 IT asset management,N/A,Intermediate,"All updates to the inventory are assessed, with any deviations having to be approved and documented in the inventory."
94,Domain 2 Identification,2.1 IT asset management,N/A,Advanced,The supply chain risk is reviewed before the acquisition of mission-critical information systems including system components.
95,Domain 2 Identification,2.1 IT asset management,N/A,Advanced,"Tools and/or processes are in place to enable tracking, updating, asset prioritising, and custom reporting of the IT asset inventory."
96,Domain 2 Identification,2.1 IT asset management,N/A,Advanced,"Tools and/or processes are in place to detect and block unauthorised changes to software and hardware, as well as to alert the appropriate owners and/or enforcers for follow-up (as required)."
97,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.1 Identification,Baseline,"Methodological approaches such as threat modelling (e.g. STRIDE, PASTA, etc.) are utilised to identify critical information assets, systems, high-risk transactions, associated threats and vulnerabilities, as well as to help justify the areas that warrant compensating cybersecurity controls to mitigate risk."
98,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.1 Identification,Baseline,A risk owner is accountable for ensuring that proper risk treatment measures are implemented and enforced.
99,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.1 Identification,Intermediate,The accountable risk owners have an established process to regularly identify emerging threats to the institution and its information assets and ensure this is properly reflected in an updated threat model.
100,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.1 Identification,Advanced,"The accountable risk owners have evaluated and implemented tools to facilitate automatic detection of new threats and vulnerabilities through threat intelligence sources, which in turn enables the prompt update of the threat model to reflect the latest real-world data."
101,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.2 Assessment,Baseline,"A cyber risk assessment focused on safeguarding customer information is able to identify reasonable and foreseeable cyber threats, the likelihood and potential damage of cyber threats, and the sufficiency of policies, procedures, and customer information systems."
102,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.2 Assessment,Baseline,"The cyber risk assessment is updated regularly to address the deployment risk of new technologies, products, services, and connections."
103,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.2 Assessment,Intermediate,The focus of the risk assessment has expanded beyond customer information to address all information assets (such as internal information).
104,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.2 Assessment,Intermediate,The risk assessment includes consideration of the risk of using end-of-life (EOL) software and hardware components.
105,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.2 Assessment,Advanced,An enterprise-wide risk management function has been established that incorporates cyber threat analysis and specific risk exposure as part of the enterprise risk assessment.
106,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.3 Treatment,Baseline,"For each type of risk identified, there are risk mitigation and control strategies consistent with the value of the information assets and the AI’s level of acceptable risk tolerance."
107,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.3 Treatment,Intermediate,"A methodological approach has been adopted to evaluate, prioritise, and implement appropriate risk-reduction controls."
108,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.3 Treatment,Intermediate,A cyber or other insurance programme is in place or being evaluated to transfer institutional risk exposure.
109,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.3 Treatment,Advanced,"The criteria for risk prioritisation and acceptance is clearly defined and is commensurate with the institution’s risk tolerance, with the risk acceptance formally endorsed by Senior Management."
110,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring",2.2.3 Treatment,Advanced,A formal evaluation of the need for cyber or other insurance programmes to transfer institutional risk exposure has been completed.
111,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring","2.2.4 Monitoring, Review, and Reporting",Baseline,A risk register is maintained to facilitate monitoring and reporting of identified risks and regularly reviewed to evaluate the effectiveness of the controls implemented to minimise risk exposure.
112,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring","2.2.4 Monitoring, Review, and Reporting",Intermediate,"The frequency of the updating, monitoring, and reporting of items in the risk register is commensurate with the level and prioritisation of risk."
113,Domain 2 Identification,"2.2 Cyber risk identification, assessment, treatment, and monitoring","2.2.4 Monitoring, Review, and Reporting",Advanced,Risk metrics have been developed to highlight assets with the highest risk exposure and evaluate the effectiveness of mitigating controls.
114,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,"Identification and authentication are required to manage the access to systems, applications, and hardware."
115,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,"Access controls are in place, including minimum password length, password complexity, and limits to password attempts and reuse."
116,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,All physical and logical access is removed immediately upon notification of the involuntary or voluntary departure of an employee.
117,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,"Changes to physical and logical user access, including those that result from voluntary and involuntary terminations, are submitted to and approved by the appropriate personnel."
118,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,User access reviews are performed periodically for all systems and applications based on the risk exposure to the application or system.
119,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,All default passwords and unnecessary default accounts are changed before system implementation and thereafter on a regular basis.
120,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,All passwords should be protected with cryptographic functions in storage and in transit.
121,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,Production and non-production environments are segregated to prevent unauthorised access or changes to information assets.
122,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,Employee access is granted to systems and confidential data based on job responsibilities and the principles of least privilege.
123,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Baseline,The principle of separation of duties is in place to restrict employee access to systems and confidential data.
124,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Intermediate,"Based on a risk-based approach, changes to user access permissions trigger automated notices (e.g. e-mails; Short Message Service (SMS); system alerts to the monitoring systems) to appropriate personnel."
125,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Intermediate,"When the passwords are generated or changed, workstation access and single sign-on passwords are checked against a list of commonly-used, expected, or compromised values and, if found on the list, are rejected. The scope of this would apply to passwords generation and changes, and applicable to all accounts. The list of passwords should be a combination of those available online and unique to the commonly used terms within the institution (e.g. passwords containing acronym of the AI’s name)."
126,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Baseline,"Elevated privileges (e.g. administrator privileges) are limited and tightly controlled (e.g. assigned to individuals, not shared, and requiring stronger password controls)."
127,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Baseline,"Administrators either have two accounts: one for administrative use and one for general purpose, non-administrative tasks, or if they only have one account, then their administrative privileges are granted on needs-basis (e.g. managed by privileged account management tools, enabled / disabled based on demand, or other methods deemed appropriate by the institution)."
128,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Baseline,Multi-factor authentication has been implemented for privileged accounts with local and / or network access.
129,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Intermediate,Access controls are in place for database administrators to prevent unauthorised downloading or transmission of confidential data.
130,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Intermediate,"Multifactor authentication (e.g. tokens, digital certificates) is used for employee access to high-risk systems as identified in the cyber risk assessment(s)."
131,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Intermediate,Mechanism should be in place to audit and review the execution of privileged functions.
132,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Intermediate,"The information system enforces the principle of least privilege to prevent non-privileged users from executing privileged commands to disable, circumvent, or alter implemented security safeguards or countermeasures."
133,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Advanced,"Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)."
134,Domain 3 Protection,3.1 Access Control,3.1.1 User account management,Advanced,Multi-factor authentication has also been implemented on a risk-based approach for local access to non-privileged accounts.
135,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Advanced,"Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked whiteboards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)"
136,Domain 3 Protection,3.1 Access Control,3.1.2 Privileged user account management,Advanced,The organisation authorises network access to specific privileged commands only on an exceptional basis and documents the rationale for requiring such access.
137,Domain 3 Protection,3.1 Access Control,3.1.3 Customer access management,Baseline,"Customer access to internet-based products or services requires authentication controls (e.g. layered controls, multifactor authentication) that are commensurate with the risk."
138,Domain 3 Protection,3.1 Access Control,3.1.3 Customer access management,Baseline,Customer service platforms (e.g. call centres) utilise formal procedures to authenticate customers commensurate with the risk of the transaction or request.
139,Domain 3 Protection,3.1 Access Control,3.1.3 Customer access management,Intermediate,Tokenisation is considered and applied where suitable to substitute unique values for confidential information (e.g. virtual credit card).
140,Domain 3 Protection,3.1 Access Control,3.1.3 Customer access management,Advanced,Controls are in place to prevent malware and man-in-the-middle attacks for customer authentication in high-risk transactions.
141,Domain 3 Protection,3.1 Access Control,3.1.4 Physical access management,Baseline,Physical security controls are used to prevent unauthorised access to IT hardware and telecommunication systems.
142,Domain 3 Protection,3.1 Access Control,3.1.4 Physical access management,Baseline,Physical access to high-risk or confidential systems is restricted and logged.
143,Domain 3 Protection,3.1 Access Control,3.1.4 Physical access management,Baseline,"Physical access logs are reviewed regularly upon the occurrence of defined events, and otherwise on a regular basis."
144,Domain 3 Protection,3.1 Access Control,3.1.4 Physical access management,Baseline,There is ongoing monitoring of physical access alarms and surveillance equipment.
145,Domain 3 Protection,3.1 Access Control,3.1.4 Physical access management,Baseline,"The results of monitoring, reviews, and investigations are tied with the AI’s incident response capability."
146,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Baseline,"Remote access by employees, contractors, and third parties uses encrypted connections and multifactor authentication."
147,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Baseline,Multi-factor authentication has also been implemented for non-privileged accounts with network access.
148,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Intermediate,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.
149,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Intermediate,The information system routes all remote access through centralised managed network access control points to facilitate monitoring and control of remote access sessions and the auditing of user activities.
150,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Advanced,The execution of privileged commands and access to security-relevant information via remote access are authorised only on an as-needed basis.
151,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Advanced,The rationale for such access is documented and regularly reviewed.
152,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Advanced,"Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.)."
153,Domain 3 Protection,3.1 Access Control,3.1.5 Remote access management,Advanced,There exists the capability to disconnect or disable remote access to the information system expeditiously.
154,Domain 3 Protection,3.1 Access Control,3.1.6 Wireless access management,Baseline,"Usage restrictions, configuration/connection requirements, and implementation guidance have been established."
155,Domain 3 Protection,3.1 Access Control,3.1.6 Wireless access management,Baseline,Authorisation of wireless access to the information system is required before allowing a connection to access the network.
